Pubchem ID, InChi, InChiKey, Canonical Smiles, Isomeric Smiles
10,InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4_9_11_13_23H_5-8H2_(H_24_31)(H_29_30)(H_33_34)(H4_21_22_25_26_32),AUFGTPPARQZWDO-UHFFFAOYSA-N,C1C(NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,C1C(NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
19,InChI=1S/C7H6O4/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3_8-9H_(H_10_11),GLDQAMYCGOIJDV-UHFFFAOYSA-N,C1=CC(=C(C(=C1)O)O)C(=O)O,C1=CC(=C(C(=C1)O)O)C(=O)O
22,InChI=1S/C5H8O4/c1-3(6)5(2_9)4(7)8/h9H_1-2H3_(H_7_8),NMDWGEGFJUBKLB-UHFFFAOYSA-N,CC(=O)C(C)(C(=O)O)O,CC(=O)C(C)(C(=O)O)O
29,InChI=1S/C3H5NO3/c4-2(1-5)3(6)7/h1-2H_4H2_(H_6_7),XMTCKNXTTXDPJX-UHFFFAOYSA-N,C(=O)C(C(=O)O)N,C(=O)C(C(=O)O)N
36,InChI=1S/C7H12O5/c1-3(2)4(6(9)10)5(8)7(11)12/h3-5_8H_1-2H3_(H_9_10)(H_11_12),RNQHMTFBUSSBJQ-UHFFFAOYSA-N,CC(C)C(C(C(=O)O)O)C(=O)O,CC(C)C(C(C(=O)O)O)C(=O)O
38,InChI=1S/C6H10O4/c1-6(2_3-7)4(8)5(9)10/h7H_3H2_1-2H3_(H_9_10),PKVVTUWHANFMQC-UHFFFAOYSA-N,CC(C)(CO)C(=O)C(=O)O,CC(C)(CO)C(=O)C(=O)O
40,InChI=1S/C6H12O5/c7-2-4-6(10)3(8)1-5(9)11-4/h3-10H_1-2H2,PMMURAAUARKVCB-UHFFFAOYSA-N,C1C(C(C(OC1O)CO)O)O,C1C(C(C(OC1O)CO)O)O
43,InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3_6H_1-2H2_(H_7_8)(H_9_10),HWXBTNAVRSUOJR-UHFFFAOYSA-N,C(CC(=O)O)C(C(=O)O)O,C(CC(=O)O)C(C(=O)O)O
45,InChI=1S/C3H4O5/c4-1(2(5)6)3(7)8/h1_4H_(H_5_6)(H_7_8),ROBFUDYVXSDBQM-UHFFFAOYSA-N,C(C(=O)O)(C(=O)O)O,C(C(=O)O)(C(=O)O)O
46,InChI=1S/C6H11O9P/c7-3(1-4(8)6(10)11)5(9)2-15-16(12_13)14/h3_5_7_9H_1-2H2_(H_10_11)(H2_12_13_14),OVPRPPOVAXRCED-UHFFFAOYSA-N,C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O,C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O
47,InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H_3H2_1-2H3_(H_8_9),JVQYSWDUAOAHFM-UHFFFAOYSA-N,CCC(C)C(=O)C(=O)O,CCC(C)C(=O)C(=O)O
48,InChI=1S/C5H7NO4/c6-4(8)2-1-3(7)5(9)10/h1-2H2_(H2_6_8)(H_9_10),COJBGNAUUSNXHX-UHFFFAOYSA-N,C(CC(=O)N)C(=O)C(=O)O,C(CC(=O)N)C(=O)C(=O)O
49,InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H_1-2H3_(H_7_8),QHKABHOOEWYVLI-UHFFFAOYSA-N,CC(C)C(=O)C(=O)O,CC(C)C(=O)C(=O)O
50,InChI=1S/C6H10O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-4_7-10H_1H2_(H_12_13),VBUYCZFBVCCYFD-UHFFFAOYSA-N,C(C(C(C(C(=O)C(=O)O)O)O)O)O,C(C(C(C(C(=O)C(=O)O)O)O)O)O
51,InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2_(H_7_8)(H_9_10),KPGXRSRHYNQIFN-UHFFFAOYSA-N,C(CC(=O)O)C(=O)C(=O)O,C(CC(=O)O)C(=O)C(=O)O
53,InChI=1S/C26H42N7O18P3S/c1-13(14(2)34)25(39)55-8-7-28-16(35)5-6-29-23(38)20(37)26(3_4)10-48-54(45_46)51-53(43_44)47-9-15-19(50-52(40_41)42)18(36)24(49-15)33-12-32-17-21(27)30-11-31-22(17)33/h11-13_15_18-20_24_36-37H_5-10H2_1-4H3_(H_28_35)(H_29_38)(H_43_44)(H_45_46)(H2_27_30_31)(H2_40_41_42),NHNODHRSCRALBF-UHFFFAOYSA-N,CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O
